"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLO","Flowers Foods, Inc.","18.6","$3.85B","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/flo",
"FLS","Flowserve Corporation","45.45","$5.93B","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/fls",
"FLR","Fluor Corporation","49.24","$6.86B","n/a","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/flr",
"FLY","Fly Leasing Limited","10.07","$338.35M","2007","n/a","n/a","http://www.nasdaq.com/symbol/fly",
"FMC","FMC Corporation","46.06","$6.16B","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fmc",
"FTI","FMC Technologies, Inc.","27.25","$6.17B","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fti",
"FMX","Fomento Economico Mexicano S.A.B. de C.V.","90.37","$161.68B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/fmx",
"FL","Foot Locker, Inc.","54.92","$7.43B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/fl",
"F","Ford Motor Company","12.72","$50.53B","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/f",
"FELP","Foresight Energy LP","1.62","$212.3M","2014","Energy","Coal Mining","http://www.nasdaq.com/symbol/felp",
"FCE.A","Forest City Realty Trust, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fce.a",
"FCE.B","Forest City Realty Trust, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fce.b",
"FOR","Forestar Group Inc","11.91","$403.84M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/for",
"FTV$","Fortive Corporation","49.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ftv$",
"FIG","Fortress Investment Group LLC","4.48","$1.73B","2007","Finance","Investment Managers","http://www.nasdaq.com/symbol/fig",
"FTAI","Fortress Transportation and Infrastructure Investors LLC","9.27","$702.02M","2015","n/a","n/a","http://www.nasdaq.com/symbol/ftai",
"FSM","Fortuna Silver Mines Inc.","7.61","$994.73M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fsm",
"FBHS","Fortune Brands Home & Security, Inc.","58.1","$8.91B","n/a","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/fbhs",
"FET","Forum Energy Technologies, Inc.","17.57","$1.6B","2012","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/fet",
"FCPT","Four Corners Property Trust, Inc.","20.7","$1.24B","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fcpt",
"FNV","Franco-Nevada Corporation","78.72","$13.99B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/fnv",
